REF_DATE,GEO,DGUID,Inequality measures (5),Coordinate,Year (2):2020[1],Symbol,Year (2):2015[2],Symbol
2021,Point Lance,2021A00051001225,P90/P10 ratio on adjusted household after-tax income,27.5,,x,,x
2021,St. Bride's,2021A00051001228,Total - Population in private households,28.1,320,,,x
2021,St. Bride's,2021A00051001228,Gini index on adjusted household market income,28.2,0.536,,,x
2021,St. Bride's,2021A00051001228,Gini index on adjusted household total income,28.3,0.296,,,x
2021,St. Bride's,2021A00051001228,Gini index on adjusted household after-tax income,28.4,0.256,,,x
2021,St. Bride's,2021A00051001228,P90/P10 ratio on adjusted household after-tax income,28.5,3.3,,,x
2021,"Division No.  1, Subd. B",2021A00051001234,Total - Population in private households,29.1,355,,360,
2021,"Division No.  1, Subd. B",2021A00051001234,Gini index on adjusted household market income,29.2,0.476,,0.456,
2021,"Division No.  1, Subd. B",2021A00051001234,Gini index on adjusted household total income,29.3,0.288,,0.338,
2021,"Division No.  1, Subd. B",2021A00051001234,Gini index on adjusted household after-tax income,29.4,0.248,,0.298,
2021,"Division No.  1, Subd. B",2021A00051001234,P90/P10 ratio on adjusted household after-tax income,29.5,3.3,,4.5,
2021,Placentia,2021A00051001240,Total - Population in private households,30.1,3180,,3370,
2021,Placentia,2021A00051001240,Gini index on adjusted household market income,30.2,0.503,,0.478,
2021,Placentia,2021A00051001240,Gini index on adjusted household total income,30.3,0.326,,0.353,
2021,Placentia,2021A00051001240,Gini index on adjusted household after-tax income,30.4,0.280,,0.310,
2021,Placentia,2021A00051001240,P90/P10 ratio on adjusted household after-tax income,30.5,3.6,,4.3,
2021,Fox Harbour,2021A00051001254,Total - Population in private households,31.1,,x,255,
2021,Fox Harbour,2021A00051001254,Gini index on adjusted household market income,31.2,,x,0.500,
2021,Fox Harbour,2021A00051001254,Gini index on adjusted household total income,31.3,,x,0.344,
2021,Fox Harbour,2021A00051001254,Gini index on adjusted household after-tax income,31.4,,x,0.304,
2021,Fox Harbour,2021A00051001254,P90/P10 ratio on adjusted household after-tax income,31.5,,x,3.8,
2021,"Division No.  1, Subd. A",2021A00051001259,Total - Population in private households,32.1,650,,665,
2021,"Division No.  1, Subd. A",2021A00051001259,Gini index on adjusted household market income,32.2,0.524,,0.546,
2021,"Division No.  1, Subd. A",2021A00051001259,Gini index on adjusted household total income,32.3,0.294,,0.365,
2021,"Division No.  1, Subd. A",2021A00051001259,Gini index on adjusted household after-tax income,32.4,0.253,,0.324,
2021,"Division No.  1, Subd. A",2021A00051001259,P90/P10 ratio on adjusted household after-tax income,32.5,3.2,,4.0,
2021,Long Harbour-Mount Arlington Heights,2021A00051001263,Total - Population in private households,33.1,,x,255,
2021,Long Harbour-Mount Arlington Heights,2021A00051001263,Gini index on adjusted household market income,33.2,,x,0.436,
2021,Long Harbour-Mount Arlington Heights,2021A00051001263,Gini index on adjusted household total income,33.3,,x,0.344,
2021,Long Harbour-Mount Arlington Heights,2021A00051001263,Gini index on adjusted household after-tax income,33.4,,x,0.310,
2021,Long Harbour-Mount Arlington Heights,2021A00051001263,P90/P10 ratio on adjusted household after-tax income,33.5,,x,4.4,
2021,Southern Harbour,2021A00051001267,Total - Population in private households,34.1,315,,0,...
2021,Southern Harbour,2021A00051001267,Gini index on adjusted household market income,34.2,0.540,,0,...
2021,Southern Harbour,2021A00051001267,Gini index on adjusted household total income,34.3,0.306,,0,...
2021,Southern Harbour,2021A00051001267,Gini index on adjusted household after-tax income,34.4,0.264,,0,...
2021,Southern Harbour,2021A00051001267,P90/P10 ratio on adjusted household after-tax income,34.5,3.3,,0,...
2021,Arnold's Cove,2021A00051001270,Total - Population in private households,35.1,940,,915,
2021,Arnold's Cove,2021A00051001270,Gini index on adjusted household market income,35.2,0.483,,0.456,
2021,Arnold's Cove,2021A00051001270,Gini index on adjusted household total income,35.3,0.302,,0.334,
2021,Arnold's Cove,2021A00051001270,Gini index on adjusted household after-tax income,35.4,0.262,,0.288,
2021,Arnold's Cove,2021A00051001270,P90/P10 ratio on adjusted household after-tax income,35.5,3.4,,4.2,
2021,Come By Chance,2021A00051001274,Total - Population in private households,36.1,,x,,x
2021,Come By Chance,2021A00051001274,Gini index on adjusted household market income,36.2,,x,,x
2021,Come By Chance,2021A00051001274,Gini index on adjusted household total income,36.3,,x,,x
2021,Come By Chance,2021A00051001274,Gini index on adjusted household after-tax income,36.4,,x,,x
2021,Come By Chance,2021A00051001274,P90/P10 ratio on adjusted household after-tax income,36.5,,x,,x
2021,Sunnyside,2021A00051001277,Total - Population in private households,37.1,410,,395,
2021,Sunnyside,2021A00051001277,Gini index on adjusted household market income,37.2,0.498,,0.430,
2021,Sunnyside,2021A00051001277,Gini index on adjusted household total income,37.3,0.315,,0.344,
2021,Sunnyside,2021A00051001277,Gini index on adjusted household after-tax income,37.4,0.268,,0.304,
2021,Sunnyside,2021A00051001277,P90/P10 ratio on adjusted household after-tax income,37.5,3.4,,4.6,
2021,Chance Cove,2021A00051001281,Total - Population in private households,38.1,,x,260,
2021,Chance Cove,2021A00051001281,Gini index on adjusted household market income,38.2,,x,0.580,
2021,Chance Cove,2021A00051001281,Gini index on adjusted household total income,38.3,,x,0.380,
2021,Chance Cove,2021A00051001281,Gini index on adjusted household after-tax income,38.4,,x,0.336,
2021,Chance Cove,2021A00051001281,P90/P10 ratio on adjusted household after-tax income,38.5,,x,4.6,
2021,Norman's Cove-Long Cove,2021A00051001285,Total - Population in private households,39.1,645,,665,
